disease,mortality_1y,mortality_5y,source,confidence
sleep disorder,0.2,1.0,"heterogeneous, mostly non-lethal sleep conditions",low
sodium channelopathy-related small fiber neuropathy,0.2,1.0,chronic sensory neuropathy; non-lethal directly,low
solid tumor,20.0,50.0,non-specific aggregate of solid cancers; broad estimate,low
spinal cord injury,6.0,14.0,"1y mortality ~4-8% (worse with tetraplegia), reduced long-term",medium
spinocerebellar ataxia type 2,1.0,8.0,chronic; survival 10-20y after onset,medium
spondyloarthritis,0.5,3.0,chronic inflammatory; modest excess CV mortality,medium
spontaneous abortion,0.0,0.1,pregnancy loss event; very low maternal mortality,high
stridor,1.0,2.0,"sign of airway obstruction; depends on cause, acute risk",low
submental fat,0.0,0.0,cosmetic condition (double chin); non-lethal,high
supraventricular tachycardia,0.2,1.0,"arrhythmia; usually benign, low mortality",medium
tardive dyskinesia,0.2,1.0,drug-induced movement disorder; non-lethal directly,low
tenosynovial giant cell tumor,0.0,1.0,benign tumor; rarely fatal (malignant variant uncommon),medium
threatened miscarriage,0.0,0.1,pregnancy condition; very low maternal mortality,high
transthyretin amyloid polyneuropathy,4.0,28.0,hATTR; median survival ~7-12y from onset,medium
trichomoniasis,0.0,0.0,curable parasitic STI; negligible mortality,high
tuberous sclerosis,1.0,5.0,genetic; mortality from SEGA/renal/epilepsy complications,low
tyrosinemia type I,12.0,28.0,untreated severe (2y survival <30%); treated >90% survive,medium
unspecified peripheral T-cell lymphoma,40.0,68.0,PTCL-NOS 5y OS ~32%; 1y ~60%,high
upper gastrointestinal bleeding,12.0,30.0,30-day mortality ~10%; 5y higher from comorbidity,medium
ureteral stent-related symptoms,0.0,0.0,stent-related discomfort; non-lethal,high
urinary retention,0.5,2.0,"symptom; low direct mortality, reflects underlying cause",low
urinary tract infection,0.5,2.0,mostly benign; urosepsis in elderly raises mortality,medium
urticaria,0.0,0.0,hives; non-lethal (rare anaphylaxis separate),high
vaginal dryness,0.0,0.0,menopausal/atrophic symptom; non-lethal,high
vascular disease,2.0,12.0,heterogeneous; PAD/atherosclerosis raise CV mortality over time,low
wet macular degeneration,0.5,4.0,"vision-threatening, not directly lethal; elderly baseline mortality",medium
