disease,placebo_magnitude,endpoint_subjectivity,effect_size_uncertainty,confidence,basis
Metastatic Pancreas Cancer; Locally Advanced Pancreatic Cancer; Pancreatic Adenocarcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Pancreas Adenocarcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Severe Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Graft vs Host Disease,25,25,22,med,"Transplant/GVHD/immunosuppression: objective rejection/survival/lab endpoints, low placebo"
"Outpatient Surgery; Pain, Postoperative",75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Acute Musculoskeletal Disease; Sprains; Sprains and Strains; Injuries; Emergencies; Trauma; Acute Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Acute Traumatic Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Advanced Endometrial Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
CMV Disease,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Subfertility,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
TSH Control in Patients With Chronic Kidney Disease,30,35,29,med,"Renal/CKD: objective lab endpoints (eGFR/proteinuria), low-moderate placebo"
Hepatitis Delta Virus,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
"Kidney Transplantation, Mannitol",25,25,22,med,"Transplant/GVHD/immunosuppression: objective rejection/survival/lab endpoints, low placebo"
Treatment of Patients With Recurrent or Metastatic Squamous Cell Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Shoulder Arthritis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
late-onset Pompe disease,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Mucositis Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Placenta previa,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
for Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Enterovirus; Rhinovirus,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
AML; MDS; CMML,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
IBS - Irritable Bowel Syndrome,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
Crohn disease,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
Gastroenteritis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Metastatic Cervical Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
"Gastrointestinal Hemorrhage (Clinically Important, Upper)",25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
"Anesthesia, Intravenous",35,40,34,med,"Healthy-volunteer / PK / anesthesia / sedation: objective physiologic endpoints, low placebo"
spinocerebellar ataxia type 2,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Gastrointestinal Surgery,40,50,42,med,Wound/surgical-recovery/perioperative: mix of objective (blood loss) and recovery/symptom endpoints
Infertility; Poor Ovarian Response,40,55,44,med,"Women's health symptomatic (fibroids/endometriosis/PCOS): mix of objective + symptom endpoints, moderate placebo"
Cardiac Disease,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
giant cell arteritis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Atrial Fibrillation; Heart Diseases,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
spondyloarthritis,40,55,44,med,"Inflammatory rheum/IBD (RA/PsA/UC/Crohn): composite clinical-response endpoints with patient-reported components, moderate placebo"
"Chorea, Huntington",40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Nicotine Addiction,55,70,59,med,"Addiction/cessation: high placebo + behavioral component, abstinence partly self-reported"
Type1 Diabetes Mellitus,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Richter's Transformation,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Myelodysplastic Syndrome (MDS); Chronic Myelomonocytic Leukemia (CMML),18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
Nephrolithiasis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
supraventricular tachycardia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
acute malnutrition,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Chronic Hepatitis B,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Left Ventricular Thrombus,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
amyotrophic lateral sclerosis,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Hypercholesterolaemia,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Eosinophilic Granulomatosis With Polyangiitis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Juvenile Idiopathic Arthritis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Alzheimer's disease biomarker measurement,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Gastric Neoplasms; Gastroesophageal Junction Adenocarcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Metastatic Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Junction Carcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
combined generalized and focal epilepsy,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
drug-resistant epilepsy,40,55,44,med,"Progressive neuro (MS/PD/AD/ALS): clinical rating scales (EDSS/UPDRS/ADAS-cog), moderate placebo and slow change"
Uncomplicated Urinary Tract Infection,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
critical illness,20,20,18,med,"Severe acute (sepsis/shock/critical care): objective mortality/organ-failure endpoints, low placebo"
Musculoskeletal Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Staphylococcus Aureus Bacteremia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Tuberculosis; Tuberculous Meningitis; Drug-Induced Liver Injury,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Cesarean Section Complications,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Hand Wound; Wrist Wound; Forearm Wound; Hand Fracture; Wrist Fracture; Forearm Fracture,25,30,25,med,"Bone (osteoporosis/BMD/fracture): objective DXA/fracture endpoints, low placebo"
Hypersensitivity Reactions,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Postpartum Hemorrhage; Tranexamic Acid,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Hepatitis C,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
COVID-19; ards,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Mammaplasty,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Lower Ureteric Stones,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Pre-frail Elderly,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
COVID-19; cytokine release syndrome,18,22,18,med,"Viral infection (HCV/HIV/CMV/flu): objective virologic cure/suppression endpoint, minimal placebo"
Laparoscopic Cholecystectomy; Postoperative Nausea and Vomiting,70,85,75,med,"Functional GI (IBS/constipation/dyspepsia): high placebo (~30%), patient-reported symptom endpoint"
Post Uterine Artery Embolization Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Chemoradiotherapy in Cervical Cancer,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
low back pain,65,85,84,high,"Low back pain: large placebo, subjective pain endpoint, high natural-history variability"
Improving Outcomes in People With Knee Osteoarthritis Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
CTEPH,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
SCLC,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Invasive Candidiases,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Chronic Rhinosinusitis With Nasal Polyps,40,50,42,med,"Chronic respiratory (asthma/COPD): mix of spirometry (objective) + symptom/exacerbation (semi-subjective), moderate placebo"
postoperative urinary retention,50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
Metastatic Pancreatic Ductal Adenocarcinoma,15,20,15,med,"Oncology (OS/PFS/ORR): objective survival/imaging-response endpoints, minimal placebo effect on tumor/death"
Acute Myeloid Leukemia; Myelodysplastic Syndrome; Chronic Myelomonocytic Leukemia,18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
1mg Vs 3 mg of Granisetron,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
BPH With Other Lower Urinary Tract Symptoms,50,65,54,med,"Urologic symptomatic (overactive bladder/BPH/incontinence): high placebo, patient-reported voiding-diary endpoint"
Sickle Cell Anemia in Children,30,40,32,med,"Rare genetic/monogenic (DMD/CF/Noonan): often objective functional/biomarker endpoints, low-moderate placebo"
Dengue Hemorrhagic Fever,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
intraoperative hypotension,20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
"Neonatal Diseases and Abnormalities; Neonatal Mortality; Pulmonary Arterial Hypertension; Pulmonary Arterial Hypertension, Children",20,20,18,med,"Lipid/BP/glycemia lowering: objective lab/biomarker endpoint, small placebo drift"
Reflux Esophagitis,40,55,44,med,"GERD/peptic ulcer/esophagitis: symptom relief is subjective, healing on endoscopy objective; moderate placebo"
juvenile idiopathic arthritis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
isolated growth hormone deficiency type IA,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Frailty; Sarcopenic Obesity; Aging,35,45,37,med,Obesity: objective weight endpoint but behavioral placebo/lifestyle effect moderate
myotonic dystrophy type 1,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Procedural Pain,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Gastro Oesophageal Reflux Disease,40,55,44,med,"GERD/peptic ulcer/esophagitis: symptom relief is subjective, healing on endoscopy objective; moderate placebo"
Community-acquired Pneumonia; Bacterial Pneumonia,20,25,20,med,"Acute infection: objective microbiological/clinical-cure endpoint, minimal placebo"
Hyperactive Delirium,20,20,18,med,"Severe acute (sepsis/shock/critical care): objective mortality/organ-failure endpoints, low placebo"
oral submucous fibrosis,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
Myelofibrosis (MF),18,22,18,med,"Hematologic malignancy (leukemia/lymphoma/myeloma): objective response/MRD/survival endpoints, minimal placebo"
hepatic encephalopathy,30,35,29,med,"Organ fibrosis (IPF/cirrhosis/PAH): objective measures (FVC/6MWD/hemodynamics), low-moderate placebo"
palmoplantar pustulosis,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
"Hemorrhage, Postpartum; Placenta Previa",25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
presbyopia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Vertigo; Autonomic Dysfunction,75,90,81,med,"Pain: large placebo analgesia, subjective VAS/NRS pain endpoint, high inter-patient variability"
Ischemic stroke,25,25,22,med,"Cardiovascular hard outcomes (MI/stroke/MACE/AF/ACS): objective adjudicated events, low placebo"
Chronic Heart Failure; Acute Heart Failure; Diabetes Mellitus,22,22,19,med,"Diabetes (HbA1c/glucose): objective lab biomarker endpoint, small placebo drift"
Dyspareunia,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
Gastric Residual Volume,45,50,44,low,Unclassified indication: neutral class-average prior (low confidence)
